id,value,geometry,geometryType,name,CNTRY,TYPE
US-UT,760.96,[object Object],Polygon,Utah,United States of America,State
US-AL,636.01,[object Object],Polygon,Alabama,United States of America,State
US-LA,633.23,[object Object],MultiPolygon,Louisiana,United States of America,State
US-OK,611.75,[object Object],Polygon,Oklahoma,United States of America,State
US-MS,594.32,[object Object],Polygon,Mississippi,United States of America,State
US-AR,577.64,[object Object],Polygon,Arkansas,United States of America,State
US-DC,564.49,[object Object],Polygon,District of Columbia,United States of America,Federal District
US-TN,556.37,[object Object],Polygon,Tennessee,United States of America,State
US-SD,553.79,[object Object],Polygon,South Dakota,United States of America,State
US-TX,550.53,[object Object],MultiPolygon,Texas,United States of America,State
US-ND,550.19,[object Object],Polygon,North Dakota,United States of America,State
US-ID,527.38,[object Object],Polygon,Idaho,United States of America,State
US-SC,526.7,[object Object],Polygon,South Carolina,United States of America,State
US-NM,525.13,[object Object],Polygon,New Mexico,United States of America,State
US-NJ,521.74,[object Object],Polygon,New Jersey,United States of America,State
US-NC,521.46,[object Object],Polygon,North Carolina,United States of America,State
US-RI,515.09,[object Object],Polygon,Rhode Island,United States of America,State
US-NY,512.22,[object Object],MultiPolygon,New York,United States of America,State
US-IL,508.13,[object Object],Polygon,Illinois,United States of America,State
US-GA,507.84,[object Object],Polygon,Georgia,United States of America,State
US-MN,494.94,[object Object],Polygon,Minnesota,United States of America,State
US-KY,494.09,[object Object],Polygon,Kentucky,United States of America,State
US-NE,492.77,[object Object],Polygon,Nebraska,United States of America,State
US-MA,486.4,[object Object],MultiPolygon,Massachusetts,United States of America,State
US-MO,484.08,[object Object],Polygon,Missouri,United States of America,State
US-WI,480.44,[object Object],MultiPolygon,Wisconsin,United States of America,State
US-OH,478.52,[object Object],Polygon,Ohio,United States of America,State
US-CT,473.71,[object Object],Polygon,Connecticut,United States of America,State
US-FL,470.79,[object Object],Polygon,Florida,United States of America,State
US-PA,468.93,[object Object],Polygon,Pennsylvania,United States of America,State
US-KS,460.28,[object Object],Polygon,Kansas,United States of America,State
US-VA,459.98,[object Object],MultiPolygon,Virginia,United States of America,State
US-IA,448.65,[object Object],Polygon,Iowa,United States of America,State
US-CA,448.34,[object Object],MultiPolygon,California,United States of America,State
US-AZ,440.66,[object Object],Polygon,Arizona,United States of America,State
US-MD,434.72,[object Object],Polygon,Maryland,United States of America,State
US-IN,421.4,[object Object],Polygon,Indiana,United States of America,State
US-NV,416.08,[object Object],Polygon,Nevada,United States of America,State
US-HI,414.86,[object Object],MultiPolygon,Hawaii,United States of America,State
US-DE,413.57,[object Object],Polygon,Delaware,United States of America,State
US-WA,413.32,[object Object],MultiPolygon,Washington,United States of America,State
US-WY,403.94,[object Object],Polygon,Wyoming,United States of America,State
US-MI,396.79,[object Object],MultiPolygon,Michigan,United States of America,State
US-WV,377.78,[object Object],Polygon,West Virginia,United States of America,State
US-VT,376.34,[object Object],Polygon,Vermont,United States of America,State
US-CO,354.09,[object Object],Polygon,Colorado,United States of America,State
US-AK,351.82,[object Object],MultiPolygon,Alaska,United States of America,State
US-MT,348.37,[object Object],Polygon,Montana,United States of America,State
US-OR,331.81,[object Object],Polygon,Oregon,United States of America,State
US-ME,307.94,[object Object],MultiPolygon,Maine,United States of America,State
US-NH,272.19,[object Object],Polygon,New Hampshire,United States of America,State