Year,Lame Duck?,President,President Party,House Defend,Senate Defend,House Seat Change,Senate Seat Change
1934,,Franklin D. Roosevelt,D,313,14,9,9
1938,,Franklin D. Roosevelt,D,334,27,-81,-7
1942,,Franklin D. Roosevelt,D,267,25,-46,-9
1946,,Harry S. Truman,D,244,21,-45,-12
1950,LD*,Harry S. Truman,D,263,21,-29,-6
1954,,Dwight D. Eisenhower,R,221,11,-18,-1
1958,LD,Dwight D. Eisenhower,R,203,20,-48,-13
1962,,John F. Kennedy,D,264,18,-4,3
1966,†,Lyndon B. Johnson,D,295,21,-47,-4
1970,,Richard Nixon,R,192,7,-12,2
1974,±,Gerald R. Ford (Nixon),R,192,15,-48,-5
1978,,Jimmy Carter,D,292,14,-15,-3
1982,,Ronald Reagan,R,192,12,-26,1
1986,LD,Ronald Reagan,R,181,22,-5,-8
1990,,George Bush,R,175,17,-8,-1
1994,,William J. Clinton,D,258,17,-52,-8
1998,LD,William J. Clinton,D,207,18,5,0
2002,,George W. Bush,R,220,20,8,2
2006,LD,George W. Bush,R,233,15,-30,-6
2010,,Barack Obama,D,257,15,-63,-6
2014,LD,Barack Obama,D,201,20,-13,-9
2018,,Donald J. Trump,R,241,9,-40,2
2022,,Joseph R. Biden,D,222,14,-9,1