State,Abortion Status
Alabama,Hostile
Alaska,Protected
Arizona,Hostile
Arkansas,Illegal
California,Expanded Access
Colorado,Protected
Connecticut,Expanded Access
Delaware,Protected
Florida,Protected
Georgia,Hostile
Hawaii,Expanded Access
Idaho,Illegal
Illinois,Expanded Access
Indiana,Hostile
Iowa,Hostile
Kansas,Protected
Kentucky,Illegal
Louisiana,Illegal
Maine,Protected
Maryland,Protected
Massachusetts,Protected
Michigan,Hostile
Minnesota,Expanded Access
Mississippi,Illegal
Missouri,Illegal
Montana,Protected
Nebraska,Hostile
Nevada,Protected
New Hampshire,Not Protected
New Jersey,Expanded Access
New Mexico,Not Protected
New York,Expanded Access
North Carolina,Hostile
North Dakota,Hostile
Ohio,Hostile
Oklahoma,Illegal
Oregon,Expanded Access
Pennsylvania,Hostile
Rhode Island,Protected
South Carolina,Protected
South Dakota,Illegal
Tennessee,Illegal
Texas,Illegal
Utah,Hostile
Vermont,Expanded Access
Virginia,Not Protected
Washington,Expanded Access
West Virginia,Illegal
Wisconsin,Hostile
Wyoming,Hostile