"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index"
"1","Jrmar ""JJ"" Jefferson",1,"Texas","TX","Representative","1",1,0,1,0,0,0,0,0,0,28794,"1"
"2","Robin Fulford",1,"Texas","TX","Representative","2",0,1,0,0,0,0,0,0,0,95686,"2"
"3","Sandeep Srivastava",1,"Texas","TX","Representative","3",1,0,0,1,0,0,0,0,0,68334,"3"
"4","Iro Omere",1,"Texas","TX","Representative","4",0,0,1,0,0,0,0,0,0,14200,"4"
"5","Tartisha Hill",1,"Texas","TX","Representative","5",0,0,1,0,0,0,0,0,0,3000,"5"
"6","Lizzie Fletcher",1,"Texas","TX","Representative","7",0,1,0,0,0,0,0,1,0,1119722,"6"
"7","Laura Jones",1,"Texas","TX","Representative","8",0,1,0,0,0,0,0,0,0,11580,"7"
"8","Al Green",1,"Texas","TX","Representative","9",1,0,1,0,0,0,0,1,0,106053,"8"
"9","Linda Nuno",1,"Texas","TX","Representative","10",0,0,0,0,1,0,0,0,0,0,"9"
"10","Trey J. Hunt",1,"Texas","TX","Representative","12",1,1,1,0,0,0,0,0,0,14590,"10"
"11","Kathleen Brown",1,"Texas","TX","Representative","13",0,1,0,0,0,0,0,0,0,40716,"11"
"12","Mikal Williams",1,"Texas","TX","Representative","14",1,1,0,0,0,0,0,0,0,28985,"12"
"13","Michelle Vallejo",1,"Texas","TX","Representative","15",0,0,0,0,1,0,0,0,0,905218,"13"
"14","Veronica Escobar",1,"Texas","TX","Representative","16",0,0,0,0,1,0,0,1,0,246292,"14"
"15","Mary Jo Woods",1,"Texas","TX","Representative","17",0,1,0,0,0,0,0,0,0,0,"15"
"16","Sheila Jackson Lee",1,"Texas","TX","Representative","18",0,0,1,0,0,0,0,1,0,420382,"16"
"17","Joaquin Castro",1,"Texas","TX","Representative","20",1,0,0,0,1,0,0,1,0,133472,"17"
"18","Claudia Andreana Zapata",1,"Texas","TX","Representative","21",0,0,0,0,1,0,0,0,0,31821,"18"
"19","Jamie Kaye Jordan",1,"Texas","TX","Representative","22",0,1,0,0,0,0,0,0,0,0,"19"
"20","John Lira",1,"Texas","TX","Representative","23",1,0,0,0,1,0,0,0,0,227345,"20"
"21","Jan McDowell",1,"Texas","TX","Representative","24",0,1,0,0,0,0,0,0,0,67028,"21"
"22","Maclovio Perez Jr.",1,"Texas","TX","Representative","27",1,0,0,0,1,0,0,0,0,0,"22"
"23","Henry Cuellar",1,"Texas","TX","Representative","28",1,0,0,0,1,0,0,1,0,1220535,"23"
"24","Sylvia Garcia",1,"Texas","TX","Representative","29",0,0,0,0,1,0,0,1,0,170861,"24"
"25","Jasmine Crockett",1,"Texas","TX","Representative","30",0,0,1,0,0,0,0,0,0,136892,"25"
"26","Colin Allred",1,"Texas","TX","Representative","32",1,0,1,0,0,0,0,1,0,1198601,"26"
"27","Marc Veasey",1,"Texas","TX","Representative","33",1,0,1,0,0,0,0,1,0,283774,"27"
"28","Vicente Gonzalez",1,"Texas","TX","Representative","34",1,0,0,0,1,0,0,1,0,1143722,"28"
"29","Greg Casar",1,"Texas","TX","Representative","35",1,0,0,0,1,0,0,0,0,287109,"29"
"30","Jon Haire",1,"Texas","TX","Representative","36",1,1,0,0,0,0,0,0,0,31626,"30"
"31","Lloyd Doggett",1,"Texas","TX","Representative","37",1,1,0,0,0,0,0,1,0,458166,"31"
"32","Duncan F. Klussmann",1,"Texas","TX","Representative","38",1,1,0,0,0,0,0,0,0,92428,"32"
"33","Thomas M. McDermott Jr.",1,"Indiana","IN","Senator","0",1,1,0,0,0,0,0,0,0,571451,"33"
"34","Frank J. Mrvan",1,"Indiana","IN","Representative","1",1,1,0,0,0,0,0,1,0,831945,"34"
"35","Paul D. Steury",1,"Indiana","IN","Representative","2",1,1,0,0,0,0,0,0,0,43875,"35"
"36","Gary L. Snyder",1,"Indiana","IN","Representative","3",1,1,0,0,0,0,0,0,0,27193,"36"
"37","Roger D. Day",1,"Indiana","IN","Representative","4",1,1,0,0,0,0,0,0,0,0,"37"
"38","Jeannine Lee Lake",1,"Indiana","IN","Representative","5",0,0,1,0,0,0,0,0,0,11441,"38"
"39","Cynthia ""Cinde"" Wirth",1,"Indiana","IN","Representative","6",0,1,0,0,0,0,0,0,0,11221,"39"
"40","André D. Carson",1,"Indiana","IN","Representative","7",1,0,1,0,0,0,0,1,0,143572,"40"
"41","Ray McCormick",1,"Indiana","IN","Representative","8",1,1,0,0,0,0,0,0,0,50339,"41"
"42","Matthew Fyfe",1,"Indiana","IN","Representative","9",1,1,0,0,0,0,0,0,0,28466,"42"
"43","Tim Ryan",1,"Ohio","OH","Senator","0",1,1,0,0,0,0,0,0,0,22466976,"43"
"44","Greg Landsman",1,"Ohio","OH","Representative","1",1,1,0,0,0,0,0,0,0,1102806,"44"
"45","Samantha Meadows",1,"Ohio","OH","Representative","2",0,1,0,0,0,0,0,0,0,6130,"45"
"46","Joyce Beatty",1,"Ohio","OH","Representative","3",0,0,1,0,0,0,0,1,0,325961,"46"
"47","Tamie Wilson",1,"Ohio","OH","Representative","4",0,1,1,0,0,0,0,0,0,30773,"47"
"48","Craig Swartz",1,"Ohio","OH","Representative","5",1,1,0,0,0,0,0,0,0,14285,"49"
"49","Louis G. Lyras",1,"Ohio","OH","Representative","6",1,1,0,0,0,0,0,0,0,30881,"50"
"50","Matthew Diemer",1,"Ohio","OH","Representative","7",1,1,1,0,0,0,0,0,0,83981,"51"
"51","Vanessa Enoch",1,"Ohio","OH","Representative","8",0,0,1,0,0,0,0,0,0,0,"52"
"52","Marcy Kaptur",1,"Ohio","OH","Representative","9",0,1,0,0,0,0,0,1,0,859259,"53"
"53","David Esrati",1,"Ohio","OH","Representative","10",1,1,0,0,0,0,0,0,0,20954,"54"
"54","Shontel Brown",1,"Ohio","OH","Representative","11",0,0,1,0,0,0,0,1,0,929565,"55"
"55","Amy Rippel-Elton",1,"Ohio","OH","Representative","12",0,1,0,0,0,0,0,0,0,0,"56"
"56","Emilia Sykes",1,"Ohio","OH","Representative","13",0,0,1,0,0,0,0,0,0,930435,"57"
"57","Matt Kilboy",1,"Ohio","OH","Representative","14",1,1,0,0,0,0,0,0,0,14299,"58"
"58","Gary Josephson",1,"Ohio","OH","Representative","15",1,0,0,0,0,0,0,0,0,31001,"59"
"59","Lacy Watson",1,"West Virginia","WV","Representative","1",1,0,1,0,0,0,0,0,0,0,"60"
"60","Barry Lee Wendell",1,"West Virginia","WV","Representative","2",1,1,0,0,0,0,0,0,0,11883,"61"
"61","Patty Pansing Brooks",1,"Nebraska","NE","Representative","1",0,1,0,0,0,0,0,0,0,668297,"62"
"62","Tony Vargas",1,"Nebraska","NE","Representative","2",1,0,0,0,1,0,0,0,0,1581330,"63"
"63","David J. Else",1,"Nebraska","NE","Representative","3",1,1,0,0,0,0,0,0,0,0,"64"
"64","Charles Booker",1,"Kentucky","KY","Senator","0",1,0,1,0,0,0,0,0,0,1565535,"65"
"65","Jimmy C. Ausbrooks",1,"Kentucky","KY","Representative","1",1,1,0,0,0,0,0,0,0,250,"66"
"66","Hank Linderman",1,"Kentucky","KY","Representative","2",1,1,0,0,0,0,0,0,0,22704,"67"
"67","Morgan McGarvey",1,"Kentucky","KY","Representative","3",1,1,0,0,0,0,0,0,0,1010411,"68"
"68","Matthew Lehman",1,"Kentucky","KY","Representative","4",1,1,0,0,0,0,0,0,0,74279,"69"
"69","Conor Halbleib",1,"Kentucky","KY","Representative","5",1,1,0,0,0,0,0,0,0,3530,"70"
"70","Geoffrey M. ""Geoff"" Young",1,"Kentucky","KY","Representative","6",1,1,0,0,0,0,0,0,0,13807,"71"
"71","Ron Wyden",1,"Oregon","OR","Senator","0",1,1,0,0,0,0,0,1,0,3175684,"72"
"72","Suzanne Bonamici",1,"Oregon","OR","Representative","1",0,1,0,0,0,0,0,1,0,176655,"73"
"73","Joe Yetter",1,"Oregon","OR","Representative","2",1,1,0,0,0,0,0,0,0,25396,"74"
"74","Earl Blumenauer",1,"Oregon","OR","Representative","3",1,1,0,0,0,0,0,1,0,247652,"75"
"75","Val Hoyle",1,"Oregon","OR","Representative","4",0,1,0,0,0,0,0,0,0,766993,"76"
"76","Jamie McLeod-Skinner",1,"Oregon","OR","Representative","5",0,1,0,0,0,0,0,0,0,1470369,"77"
"77","Andrea Salinas",1,"Oregon","OR","Representative","6",0,1,0,0,0,0,0,0,0,1417119,"78"
"78","David Roth",1,"Idaho","ID","Senator","0",1,1,0,0,0,0,0,0,0,32918,"79"
"79","Kaylee Peterson",1,"Idaho","ID","Representative","1",0,1,0,0,0,0,0,0,0,29125,"80"
"80","Wendy Norman",1,"Idaho","ID","Representative","2",0,1,0,0,0,0,0,0,0,4470,"81"
"81","Cheri Beasley",1,"North Carolina","NC","Senator","0",0,0,1,0,0,0,0,0,0,15501364,"82"
"82","Don Davis",1,"North Carolina","NC","Representative","1",1,0,1,0,0,0,0,0,0,525308,"83"
"83","Deborah K. Ross",1,"North Carolina","NC","Representative","2",0,1,0,0,0,0,0,1,0,635161,"84"
"84","Barbara D. Gaskins",1,"North Carolina","NC","Representative","3",0,0,1,0,0,0,0,0,0,7750,"85"
"85","Valerie P. Foushee",1,"North Carolina","NC","Representative","4",0,0,1,0,0,0,0,0,0,99094,"86"
"86","Kyle Parrish",1,"North Carolina","NC","Representative","5",1,1,0,0,0,0,0,0,0,4150,"87"
"87","Kathy Manning",1,"North Carolina","NC","Representative","6",0,1,0,0,0,0,0,1,0,1180059,"88"
"88","Charles Graham",1,"North Carolina","NC","Representative","7",1,1,0,0,0,0,0,0,0,53715,"89"
"89","Scott Huffman",1,"North Carolina","NC","Representative","8",1,1,0,0,0,0,0,0,0,13145,"90"
"90","Ben Clark",1,"North Carolina","NC","Representative","9",1,0,1,0,0,0,0,0,0,55317,"91"
"91","Pam Genant",1,"North Carolina","NC","Representative","10",0,1,0,0,0,0,0,0,0,34936,"92"
"92","Jasmine Beach-Ferrara",1,"North Carolina","NC","Representative","11",0,1,0,0,0,0,0,0,0,521194,"93"
"93","Alma S. Adams",1,"North Carolina","NC","Representative","12",0,0,1,0,0,0,0,1,0,153055,"94"
"94","Wiley Nickel",1,"North Carolina","NC","Representative","13",1,1,0,0,0,0,0,0,0,1284684,"95"
"95","Jeff Jackson",1,"North Carolina","NC","Representative","14",1,1,0,0,0,0,0,0,0,1736680,"96"
"96","John Fetterman",1,"Pennsylvania","PA","Senator","0",1,1,0,0,0,0,0,0,0,23545207,"97"
"97","Ashley Ehasz",1,"Pennsylvania","PA","Representative","1",0,1,0,0,0,0,0,0,0,465743,"98"
"98","Brendan F. Boyle",1,"Pennsylvania","PA","Representative","2",1,1,0,0,0,0,0,1,0,249977,"99"
"99","Dwight Evans",1,"Pennsylvania","PA","Representative","3",1,0,1,0,0,0,0,1,0,51351,"100"
"100","Madeleine Dean",1,"Pennsylvania","PA","Representative","4",0,1,0,0,0,0,0,1,0,416911,"101"
"101","Mary Gay Scanlon",1,"Pennsylvania","PA","Representative","5",0,1,0,0,0,0,0,1,0,382763,"102"
"102","Chrissy Houlahan",1,"Pennsylvania","PA","Representative","6",0,1,0,0,0,0,0,1,0,1124998,"103"
"103","Susan Wild",1,"Pennsylvania","PA","Representative","7",0,1,0,0,0,0,0,1,0,2421256,"104"
"104","Matt Cartwright",1,"Pennsylvania","PA","Representative","8",1,1,0,0,0,0,0,1,0,1522324,"105"
"105","Amanda R. Waldman",1,"Pennsylvania","PA","Representative","9",0,1,0,0,0,0,0,0,0,8950,"106"
"106","Shamaine Daniels",1,"Pennsylvania","PA","Representative","10",0,0,0,0,1,0,0,0,0,189366,"107"
"107","Bob Hollister",1,"Pennsylvania","PA","Representative","11",1,1,0,0,0,0,0,0,0,104834,"108"
"108","Summer Lee",1,"Pennsylvania","PA","Representative","12",0,0,1,0,0,0,0,0,0,417129,"109"
"109","Dan Pastore",1,"Pennsylvania","PA","Representative","16",1,1,0,0,0,0,0,0,0,169323,"110"
"110","Chris Deluzio",1,"Pennsylvania","PA","Representative","17",1,1,0,0,0,0,0,0,0,1600905,"111"
"111","Taysha DeVaughan",1,"Virginia","VA","Representative","9",0,0,0,0,0,0,1,0,0,19072,"112"
"112","Will Boyd",1,"Alabama","AL","Senator","0",1,0,1,0,0,0,0,0,0,50840,"113"
"113","Phyllis Harvey-Hall",1,"Alabama","AL","Representative","2",0,0,1,0,0,0,0,0,0,11672,"114"
"114","Lin Veasey",1,"Alabama","AL","Representative","3",0,0,0,0,0,0,0,0,0,1300,"115"
"115","Rick Neighbors",1,"Alabama","AL","Representative","4",1,1,0,0,0,0,0,0,0,9010,"116"
"116","Kathy Warner-Stanton",1,"Alabama","AL","Representative","5",0,0,1,0,0,0,0,0,0,6035,"117"
"117","Terrycina Sewell",1,"Alabama","AL","Representative","7",0,0,1,0,0,0,0,1,0,242945,"118"
"118","Natalie James",1,"Arkansas","AR","Senator","0",0,0,1,0,0,0,0,0,0,13935,"119"
"119","Monte Hodges",1,"Arkansas","AR","Representative","1",1,0,1,0,0,0,0,0,0,12950,"120"
"120","Quintessa Hathaway",1,"Arkansas","AR","Representative","2",0,0,1,0,0,0,0,0,0,0,"121"
"121","Lauren Mallett-Hays",1,"Arkansas","AR","Representative","3",0,1,0,0,0,0,0,0,0,11624,"122"
"122","John White",1,"Arkansas","AR","Representative","4",1,1,0,0,0,0,0,0,0,0,"123"
"123","Raphael Warnock",1,"Georgia","GA","Senator","0",1,0,1,0,0,0,0,1,0,35622857,"124"
"124","Wade Herring",1,"Georgia","GA","Representative","1",1,1,0,0,0,0,0,0,0,562532,"125"
"125","Sanford Bishop",1,"Georgia","GA","Representative","2",1,0,1,0,0,0,0,1,0,694626,"126"
"126","Val Almonord",1,"Georgia","GA","Representative","3",1,0,1,0,0,0,0,0,0,145,"127"
"127","Henry C. ""Hank"" Johnson Jr.",1,"Georgia","GA","Representative","4",1,0,1,0,0,0,0,1,0,36514,"128"
"128","Nikema Williams",1,"Georgia","GA","Representative","5",0,0,1,0,0,0,0,1,0,138499,"129"
"129","Bob Christian",1,"Georgia","GA","Representative","6",1,1,0,0,0,0,0,0,0,23623,"130"
"130","Lucy McBath",1,"Georgia","GA","Representative","7",0,0,1,0,0,0,0,1,0,1423129,"131"
"131","Darrius Butler",1,"Georgia","GA","Representative","8",1,0,1,0,0,0,0,0,0,0,"132"
"132","Michael ""Mike"" Ford",1,"Georgia","GA","Representative","9",1,1,0,0,0,0,0,0,0,5075,"133"
"133","Tabitha Johnson-Green",1,"Georgia","GA","Representative","10",0,0,1,0,0,0,0,0,0,1429,"134"
"134","Antonio Daza",1,"Georgia","GA","Representative","11",1,0,0,0,1,0,0,0,0,12315,"135"
"135","Elizabeth ""Liz"" Johnson",1,"Georgia","GA","Representative","12",0,0,1,0,0,0,0,0,0,62773,"136"
"136","David Scott",1,"Georgia","GA","Representative","13",1,0,1,0,0,0,0,1,0,128350,"137"
"137","Marcus Flowers",1,"Georgia","GA","Representative","14",1,0,1,0,0,0,0,0,0,2348202,"138"
"138","Melanie Ann Stansbury",1,"New Mexico","NM","Representative","1",0,1,0,0,0,0,0,1,0,481506,"139"
"139","Gabriel Vasquez",1,"New Mexico","NM","Representative","2",1,0,0,0,1,0,0,0,0,1583185,"140"
"140","Teresa Leger Fernandez",1,"New Mexico","NM","Representative","3",0,0,0,0,1,0,0,1,0,1007926,"141"
"141","Dianne Black",1,"Mississippi","MS","Representative","1",0,0,1,0,0,0,0,0,0,8869,"142"
"142","Bennie G. Thompson",1,"Mississippi","MS","Representative","2",1,0,1,0,0,0,0,1,0,265355,"143"
"143","Shuwaski A. Young",1,"Mississippi","MS","Representative","3",1,0,1,0,0,0,0,0,0,25300,"144"
"144","Johnny L. DuPree ",1,"Mississippi","MS","Representative","4",1,0,1,0,0,0,0,0,0,40509,"145"
"145","Monica Tranel",1,"Montana","MT","Representative","1",0,1,0,0,0,0,0,0,0,1595998,"146"
"146","Penny Ronning",1,"Montana","MT","Representative","2",0,1,0,0,0,0,0,0,0,62428,"147"
"147","Michael Franken",1,"Iowa","IA","Senator","0",1,1,0,0,0,0,0,0,0,3413950,"148"
"148","Christina Bohannan",1,"Iowa","IA","Representative","1",0,1,0,0,0,0,0,0,0,1342708,"149"
"149","Liz Mathis",1,"Iowa","IA","Representative","2",0,1,0,0,0,0,0,0,0,1803166,"150"
"150","Cindy Axne",1,"Iowa","IA","Representative","3",0,1,0,0,0,0,0,1,0,2064020,"151"
"151","Ryan Melton",1,"Iowa","IA","Representative","4",1,1,0,0,0,0,0,0,0,12602,"152"
"152","Brian L. Bengs",1,"South Dakota","SD","Senator","0",1,1,0,0,0,0,0,0,0,149448,"153"
"153","Donald W. Norcross",1,"New Jersey","NJ","Representative","1",1,1,0,0,0,0,0,1,0,339576,"154"
"154","Tim Alexander",1,"New Jersey","NJ","Representative","2",1,0,1,0,0,0,0,0,0,165120,"155"
"155","Andy Kim",1,"New Jersey","NJ","Representative","3",1,0,0,1,0,0,0,1,0,2202438,"156"
"156","Matthew Jenkins",1,"New Jersey","NJ","Representative","4",1,1,0,0,0,0,0,0,0,19345,"157"
"157","Josh Gottheimer",1,"New Jersey","NJ","Representative","5",1,1,0,0,0,0,0,1,0,2563606,"158"
"158","Frank Pallone Jr.",1,"New Jersey","NJ","Representative","6",1,1,0,0,0,0,0,1,0,532442,"159"
"159","Tom Malinowski",1,"New Jersey","NJ","Representative","7",1,1,0,0,0,0,0,1,0,3445039,"160"
"160","Robert J. Menendez",1,"New Jersey","NJ","Representative","8",1,0,0,0,1,0,0,0,0,215876,"161"
"161","Bill Pascrell Jr.",1,"New Jersey","NJ","Representative","9",1,1,0,0,0,0,0,1,0,262704,"162"
"162","Donald M. Payne Jr.",1,"New Jersey","NJ","Representative","10",1,0,1,0,0,0,0,1,0,82700,"163"
"163","Mikie Sherrill",1,"New Jersey","NJ","Representative","11",0,1,0,0,0,0,0,1,0,1746788,"164"
"164","Bonnie Watson Coleman",1,"New Jersey","NJ","Representative","12",0,0,1,0,0,0,0,1,0,145386,"165"
"165","Alex Padilla",1,"California","CA","Senator","0",1,0,0,0,1,0,0,1,0,3168817,"166"
"166","Max Steiner",1,"California","CA","Representative","1",1,1,0,0,0,0,0,0,0,219355,"167"
"167","Jared Huffman",1,"California","CA","Representative","2",1,1,0,0,0,0,0,1,0,151664,"168"
"168","Kermit Jones",1,"California","CA","Representative","3",1,0,1,0,0,0,0,0,0,1332081,"169"
"169","Mike Thompson",1,"California","CA","Representative","4",1,1,0,0,0,0,0,1,0,326121,"170"
"170","Michael J. ""Mike"" Barkley",1,"California","CA","Representative","5",1,1,0,0,0,0,0,0,0,13361,"171"
"171","Ami Bera",1,"California","CA","Representative","6",1,0,0,1,0,0,0,1,0,227107,"172"
"172","Doris Matsui",1,"California","CA","Representative","7",0,0,0,1,0,0,0,1,0,138764,"173"
"173","John Garamendi",1,"California","CA","Representative","8",1,1,0,0,0,0,0,1,0,257746,"174"
"174","Josh Harder",1,"California","CA","Representative","9",1,1,0,0,0,0,0,1,0,2133008,"175"
"175","Mark DeSaulnier",1,"California","CA","Representative","10",1,1,0,0,0,0,0,1,0,79385,"176"
"176","Nancy Pelosi",1,"California","CA","Representative","11",0,1,0,0,0,0,0,1,0,15995076,"177"
"177","Barbara Lee",1,"California","CA","Representative","12",0,0,1,0,0,0,0,1,0,578965,"178"
"178","Adam Gray",1,"California","CA","Representative","13",1,1,0,0,0,0,0,0,0,839944,"179"
"179","Eric Swalwell",1,"California","CA","Representative","14",1,1,0,0,0,0,0,1,0,1196979,"180"
"180","David J. Canepa",1,"California","CA","Representative","15",1,1,0,0,0,0,0,0,0,42872,"181"
"181","Kevin Mullin",1,"California","CA","Representative","15",1,1,0,0,0,0,0,0,0,188474,"182"
"182","Anna G. Eshoo",1,"California","CA","Representative","16",0,0,0,0,0,1,0,1,0,441340,"183"
"183","Rishi Kumar",1,"California","CA","Representative","16",1,0,0,1,0,0,0,0,0,188825,"184"
"184","Ro Khanna",1,"California","CA","Representative","17",1,0,0,1,0,0,0,1,0,1940962,"185"
"185","Zoe Lofgren",1,"California","CA","Representative","18",0,1,0,0,0,0,0,1,0,276598,"186"
"186","Jimmy Panetta",1,"California","CA","Representative","19",1,1,0,0,0,0,0,1,0,502485,"187"
"187","Marisa Wood",1,"California","CA","Representative","20",0,1,0,0,0,0,0,0,0,215234,"188"
"188","Jim Costa",1,"California","CA","Representative","21",1,1,0,0,0,0,0,1,0,596214,"189"
"189","Rudy Salas",1,"California","CA","Representative","22",1,0,0,0,1,0,0,0,0,1218515,"190"
"190","Derek Marshall",1,"California","CA","Representative","23",1,1,0,0,0,0,0,0,0,351042,"191"
"191","Salud Carbajal",1,"California","CA","Representative","24",1,0,0,0,1,0,0,1,0,453076,"192"
"192","Raul Ruiz",1,"California","CA","Representative","25",1,0,0,0,1,0,0,1,0,391028,"193"
"193","Julia Brownley",1,"California","CA","Representative","26",0,1,0,0,0,0,0,1,0,628126,"194"
"194","Christy Smith",1,"California","CA","Representative","27",0,1,0,0,0,0,0,0,0,1801428,"195"
"195","Judy Chu",1,"California","CA","Representative","28",0,0,0,1,0,0,0,1,0,692097,"196"
"196","Tony Cardenas",1,"California","CA","Representative","29",1,0,0,0,1,0,0,1,0,223522,"197"
"197","Angélica María Dueñas",1,"California","CA","Representative","29",0,0,0,0,1,0,0,0,0,40021,"198"
"198","G ""Maebe A. Girl"" Pudlo",1,"California","CA","Representative","30",0,1,0,0,0,0,0,0,0,2278,"199"
"199","Adam B. Schiff",1,"California","CA","Representative","30",1,1,0,0,0,0,0,1,0,5171083,"200"
"200","Grace F. Napolitano",1,"California","CA","Representative","31",0,0,0,0,1,0,0,1,0,29750,"201"
"201","Brad Sherman",1,"California","CA","Representative","32",1,1,0,0,0,0,0,1,0,459930,"202"
"202","Pete Aguilar",1,"California","CA","Representative","33",1,0,0,0,1,0,0,1,0,615949,"203"
"203","Jimmy Gomez",1,"California","CA","Representative","34",1,0,0,0,1,0,0,1,0,261015,"204"
"204","David Kim",1,"California","CA","Representative","34",1,0,0,1,0,0,0,0,0,153446,"205"
"205","Norma J. Torres",1,"California","CA","Representative","35",0,0,0,0,1,0,0,1,0,110977,"206"
"206","Ted W. Lieu",1,"California","CA","Representative","36",1,0,0,1,0,0,0,1,0,348391,"207"
"207","Sydney Kamlager",1,"California","CA","Representative","37",0,1,1,0,0,0,0,0,0,323715,"208"
"208","Jan C. Perry",1,"California","CA","Representative","37",0,0,1,0,0,0,0,0,0,299171,"209"
"209","Linda T. Sánchez",1,"California","CA","Representative","38",0,0,0,0,1,0,0,1,0,199242,"210"
"210","Mark Takano",1,"California","CA","Representative","39",1,0,0,1,0,0,0,1,0,272230,"211"
"211","Asif Mahmood",1,"California","CA","Representative","40",1,0,0,1,0,0,0,0,0,883344,"212"
"212","Will Rollins",1,"California","CA","Representative","41",1,1,0,0,0,0,0,0,0,1724563,"213"
"213","Robert Garcia",1,"California","CA","Representative","42",1,0,0,0,1,0,0,0,0,282463,"214"
"214","Maxine Waters",1,"California","CA","Representative","43",0,0,1,0,0,0,0,1,0,292754,"215"
"215","Nanette Diaz Barragan",1,"California","CA","Representative","44",0,0,0,0,1,0,0,1,0,143013,"216"
"216","Jay F. Chen",1,"California","CA","Representative","45",1,0,0,1,0,0,0,0,0,1735483,"217"
"217","Lou Correa",1,"California","CA","Representative","46",1,0,0,0,1,0,0,1,0,189441,"218"
"218","Katie Porter",1,"California","CA","Representative","47",0,1,0,0,0,0,0,1,0,5756969,"219"
"219","Stephen Houlahan",1,"California","CA","Representative","48",1,1,0,0,0,0,0,0,0,27932,"220"
"220","Mike Levin",1,"California","CA","Representative","49",1,1,0,0,0,0,0,1,0,1649266,"221"
"221","Scott Peters",1,"California","CA","Representative","50",1,1,0,0,0,0,0,1,0,250964,"222"
"222","Sara Jacobs",1,"California","CA","Representative","51",0,1,0,0,0,0,0,1,0,512079,"223"
"223","Juan Vargas",1,"California","CA","Representative","52",1,0,0,0,1,0,0,1,0,99000,"224"
"224","Jennifer Lewis",1,"Virginia","VA","Representative","6",0,1,0,0,0,0,0,0,0,74584,"225"
