"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index"
"225","Chellie Pingree",1,"Maine","ME","Representative","1",0,1,0,0,0,0,0,1,0,116562,"226"
"226","Jared Golden",1,"Maine","ME","Representative","2",1,1,0,0,0,0,0,1,0,2180885,"227"
"227","Catherine Cortez Masto",1,"Nevada","NV","Senator","0",0,1,0,0,1,0,0,1,0,22810659,"228"
"228","Dina Titus",1,"Nevada","NV","Representative","1",0,1,0,0,0,0,0,1,0,963115,"229"
"229","Elizabeth Mercedes Krause",1,"Nevada","NV","Representative","2",0,0,0,0,0,0,1,0,0,26170,"230"
"230","Susie Lee",1,"Nevada","NV","Representative","3",0,1,0,0,0,0,0,1,0,1937755,"231"
"231","Steven A. Horsford",1,"Nevada","NV","Representative","4",1,0,1,0,0,0,0,1,0,1154458,"232"
"232","Krystle Matthews",1,"South Carolina","SC","Senator","0",0,0,1,0,0,0,0,0,0,27747,"233"
"233","Annie Andrews",1,"South Carolina","SC","Representative","1",0,1,0,0,0,0,0,0,0,884065,"234"
"234","Judd Larkins",1,"South Carolina","SC","Representative","2",1,1,0,0,0,0,0,0,0,35499,"235"
"235","Ken Hill",1,"South Carolina","SC","Representative","4",1,1,0,0,0,0,0,0,0,0,"236"
"236","Evangeline Hundley",1,"South Carolina","SC","Representative","5",0,0,1,0,0,0,0,0,0,0,"237"
"237","James E. ""Jim"" Clyburn",1,"South Carolina","SC","Representative","6",1,0,1,0,0,0,0,1,0,680567,"238"
"238","Daryl W. Scott",1,"South Carolina","SC","Representative","7",1,0,1,0,0,0,0,0,0,0,"239"
"239","Katrina Christiansen",1,"North Dakota","ND","Senator","0",0,1,0,0,0,0,0,0,0,42645,"240"
"240","Mark Haugen",1,"North Dakota","ND","Representative","0",1,1,0,0,0,0,0,0,0,2050,"241"
"241","Herbert C. ""Herb"" Jones Jr.",1,"Virginia","VA","Representative","1",1,0,1,0,0,0,0,0,0,143691,"242"
"242","Elaine G. Luria",1,"Virginia","VA","Representative","2",0,1,0,0,0,0,0,1,0,3884074,"243"
"243","Robert C. ""Bobby"" Scott",1,"Virginia","VA","Representative","3",1,0,1,0,0,0,0,1,0,64665,"244"
"244","A. Donald McEachin",1,"Virginia","VA","Representative","4",1,0,1,0,0,0,0,1,0,160280,"245"
"245","Joshua M. Throneburg",1,"Virginia","VA","Representative","5",1,1,0,0,0,0,0,0,0,508170,"246"
"246","Abigail A. Spanberger",1,"Virginia","VA","Representative","7",0,1,0,0,0,0,0,1,0,2840533,"247"
"247","Donald S. Beyer Jr.",1,"Virginia","VA","Representative","8",1,1,0,0,0,0,0,1,0,388677,"248"
"248","Jennifer T. Wexton",1,"Virginia","VA","Representative","10",0,1,0,0,0,0,0,1,0,896044,"249"
"249","Gerald E. ""Gerry"" Connolly",1,"Virginia","VA","Representative","11",1,1,0,0,0,0,0,1,0,209940,"250"
"250","Michael Bennet",1,"Colorado","CO","Senator","0",1,0,0,0,0,0,0,1,0,6329604,"251"
"251","Diana DeGette",1,"Colorado","CO","Representative","1",0,1,0,0,0,0,0,1,0,160222,"252"
"252","Joe Neguse",1,"Colorado","CO","Representative","2",1,0,1,0,0,0,0,1,0,477312,"253"
"253","Adam Frisch",1,"Colorado","CO","Representative","3",1,1,0,0,0,0,0,0,0,1781585,"254"
"254","Ike McCorkle",1,"Colorado","CO","Representative","4",1,1,0,0,0,0,0,0,0,64705,"255"
"255","David Torres",1,"Colorado","CO","Representative","5",1,0,0,0,1,0,0,0,0,10250,"256"
"256","Jason Crow",1,"Colorado","CO","Representative","6",1,1,0,0,0,0,0,1,0,708437,"257"
"257","Brittany Pettersen",1,"Colorado","CO","Representative","7",0,1,0,0,0,0,0,0,0,1072791,"258"
"258","Yadira Caraveo",1,"Colorado","CO","Representative","8",0,0,0,0,1,0,0,0,0,1506138,"259"
"259","Tammy Duckworth",1,"Illinois","IL","Senator","0",0,1,0,1,0,0,0,1,0,2697011,"260"
"260","Jonathan L. Jackson",1,"Illinois","IL","Representative","1",1,0,1,0,0,0,0,0,0,120804,"261"
"261","Robin Kelly",1,"Illinois","IL","Representative","2",0,0,1,0,0,0,0,1,0,236740,"262"
"262","Delia Ramirez",1,"Illinois","IL","Representative","3",0,0,0,0,1,0,0,0,0,80770,"263"
"263","Jesus ""Chuy"" Garcia",1,"Illinois","IL","Representative","4",1,0,0,0,1,0,0,1,0,125770,"264"
"264","Mike Quigley",1,"Illinois","IL","Representative","5",1,1,0,0,0,0,0,1,0,144425,"265"
"265","Sean Casten",1,"Illinois","IL","Representative","6",1,1,0,0,0,0,0,1,0,1877777,"266"
"266","Danny K. Davis",1,"Illinois","IL","Representative","7",1,0,1,0,0,0,0,1,0,115883,"267"
"267","Raja Krishnamoorthi",1,"Illinois","IL","Representative","8",1,0,0,1,0,0,0,1,0,2611102,"268"
"268","Janice D. Schakowsky",1,"Illinois","IL","Representative","9",0,1,0,0,0,0,0,1,0,221542,"269"
"269","Brad Schneider",1,"Illinois","IL","Representative","10",1,1,0,0,0,0,0,1,0,952586,"270"
"270","Bill Foster",1,"Illinois","IL","Representative","11",1,1,0,0,0,0,0,1,0,952590,"271"
"271","Homer ""Chip"" Markel",1,"Illinois","IL","Representative","12",1,1,0,0,0,0,0,0,0,15854,"272"
"272","Nikki Budzinski",1,"Illinois","IL","Representative","13",0,1,0,0,0,0,0,0,0,1568153,"273"
"273","Lauren Underwood",1,"Illinois","IL","Representative","14",0,0,1,0,0,0,0,1,0,2108627,"274"
"274","Paul J. Lange",1,"Illinois","IL","Representative","15",1,1,0,0,0,0,0,0,0,13743,"275"
"275","Eric Sorensen",1,"Illinois","IL","Representative","17",1,1,0,0,0,0,0,0,0,1504470,"276"
"276","Charles E. Schumer",1,"New York","NY","Senator","0",1,1,0,0,0,0,0,1,0,9686598,"277"
"277","Madison Horn",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,1,0,0,166160,"278"
"278","Kendra Horn",1,"Oklahoma","OK","Senator","0",0,1,0,0,0,0,0,0,0,914494,"281"
"279","Adam Martin",1,"Oklahoma","OK","Representative","1",1,0,1,0,0,0,0,0,0,13575,"282"
"280","Naomi Andrews",1,"Oklahoma","OK","Representative","2",0,1,0,0,0,0,0,0,0,75,"283"
"281","Jeremiah A. Ross",1,"Oklahoma","OK","Representative","3",1,1,0,0,0,0,0,0,0,0,"284"
"282","Mary Brannon",1,"Oklahoma","OK","Representative","4",0,1,0,0,0,0,0,0,0,0,"285"
"283","Joshua Harris-Till",1,"Oklahoma","OK","Representative","5",1,0,1,0,0,0,0,0,0,28411,"286"
"284","Rick Edwin Jones",1,"Utah","UT","Representative","1",1,1,0,0,0,0,0,0,0,0,"287"
"285","Nick Mitchell",1,"Utah","UT","Representative","2",1,0,1,0,0,0,0,0,0,12135,"288"
"286","Glenn J. Wright",1,"Utah","UT","Representative","3",1,1,0,0,0,0,0,0,0,3000,"289"
"287","Darlene McDonald",1,"Utah","UT","Representative","4",0,0,1,0,0,0,0,0,0,20495,"290"
"288","Chris Van Hollen",1,"Maryland","MD","Senator","0",1,1,0,0,0,0,0,1,0,1394269,"291"
"289","Heather R. Mizeur",1,"Maryland","MD","Representative","1",0,1,0,0,0,0,0,0,0,1051855,"292"
"290","C.A. Dutch Ruppersberger",1,"Maryland","MD","Representative","2",1,1,0,0,0,0,0,1,0,178695,"293"
"291","John Sarbanes",1,"Maryland","MD","Representative","3",1,1,0,0,0,0,0,1,0,34930,"294"
"292","Glenn F. Ivey",1,"Maryland","MD","Representative","4",1,0,1,0,0,0,0,0,0,448081,"295"
"293","Steny Hoyer",1,"Maryland","MD","Representative","5",1,1,0,0,0,0,0,1,0,674164,"296"
"294","David J. Trone",1,"Maryland","MD","Representative","6",1,1,0,0,0,0,0,1,0,309602,"297"
"295","Kweisi Mfume",1,"Maryland","MD","Representative","7",1,0,1,0,0,0,0,1,0,133881,"298"
"296","Jamie Raskin",1,"Maryland","MD","Representative","8",1,1,0,0,0,0,0,1,0,1030489,"299"
"297","Mark Kelly",1,"Arizona","AZ","Senator","0",1,1,0,0,0,0,0,1,0,29590633,"300"
"298","Jevin D. Hodge",1,"Arizona","AZ","Representative","1",1,0,1,0,0,0,0,0,0,1141123,"301"
"299","Tom O'Halleran",1,"Arizona","AZ","Representative","2",1,1,0,0,0,0,0,1,0,1234394,"302"
"300","Ruben Gallego",1,"Arizona","AZ","Representative","3",1,0,0,0,1,0,0,1,0,366368,"303"
"301","Greg Stanton",1,"Arizona","AZ","Representative","4",1,1,0,0,0,0,0,1,0,1180697,"304"
"302","Javier Garcia Ramos",1,"Arizona","AZ","Representative","5",1,0,0,0,1,0,0,0,0,6149,"305"
"303","Kirsten Engel",1,"Arizona","AZ","Representative","6",0,1,0,0,0,0,0,0,0,1128175,"306"
"304","Raúl Grijalva",1,"Arizona","AZ","Representative","7",1,0,0,0,1,0,0,1,0,161900,"307"
"305","Mark R. Holland",1,"Kansas","KS","Senator","0",1,1,0,0,0,0,0,0,0,392975,"308"
"306","James ""Jimmy"" Beard",1,"Kansas","KS","Representative","1",1,1,0,0,0,0,0,0,0,7620,"309"
"307","Patrick Schmidt",1,"Kansas","KS","Representative","2",1,1,0,0,0,0,0,0,0,558256,"310"
"308","Sharice Davids",1,"Kansas","KS","Representative","3",0,0,0,0,0,0,1,1,0,2744589,"311"
"309","Bob Hernandez",1,"Kansas","KS","Representative","4",1,0,0,0,1,0,0,0,0,16125,"312"
"310","Bob Lorinser",1,"Michigan","MI","Representative","1",1,1,0,0,0,0,0,0,0,162437,"313"
"311","Jerry Hilliard",1,"Michigan","MI","Representative","2",1,1,0,0,0,0,0,0,0,7303,"314"
"312","Hillary Scholten",1,"Michigan","MI","Representative","3",0,1,0,0,0,0,0,0,0,1603346,"315"
"313","Bart Goldberg",1,"Michigan","MI","Representative","5",1,1,0,0,0,0,0,0,0,101816,"316"
"314","Debbie Dingell",1,"Michigan","MI","Representative","6",0,1,0,0,0,0,0,1,0,284615,"317"
"315","Elissa Slotkin",1,"Michigan","MI","Representative","7",0,1,0,0,0,0,0,1,0,3355459,"318"
"316","Daniel T. Kildee",1,"Michigan","MI","Representative","8",1,1,0,0,0,0,0,1,0,1470416,"319"
"317","Brian Jaye",1,"Michigan","MI","Representative","9",1,1,0,0,0,0,0,0,0,19165,"320"
"318","Carl J. Marlinga",1,"Michigan","MI","Representative","10",1,1,0,0,0,0,0,0,0,515862,"321"
"319","Haley Stevens",1,"Michigan","MI","Representative","11",0,1,0,0,0,0,0,1,0,1207694,"322"
"320","Rashida Tlaib",1,"Michigan","MI","Representative","12",0,0,0,0,0,1,0,1,0,785175,"323"
"321","Shri Thanedar",1,"Michigan","MI","Representative","13",1,0,0,1,0,0,0,0,0,30700,"324"
"322","Trudy Busch Valentine",1,"Missouri","MO","Senator","0",0,1,0,0,0,0,0,0,0,4210218,"325"
"323","Cori Bush",1,"Missouri","MO","Representative","1",0,0,1,0,0,0,0,1,0,578653,"326"
"324","Trish Gunby",1,"Missouri","MO","Representative","2",0,1,0,0,0,0,0,0,0,419546,"327"
"325","Bethany Mann",1,"Missouri","MO","Representative","3",0,1,0,0,0,0,0,0,0,3900,"328"
"326","Jack Truman",1,"Missouri","MO","Representative","4",1,1,0,0,0,0,0,0,0,0,"329"
"327","Emanuel Cleaver II",1,"Missouri","MO","Representative","5",1,0,1,0,0,0,0,1,0,99916,"330"
"328","Henry Martin",1,"Missouri","MO","Representative","6",1,0,1,0,0,0,0,0,0,43476,"331"
"329","Kristen Radaker-Sheafer",1,"Missouri","MO","Representative","7",0,1,0,0,0,0,0,0,0,2920,"332"
"330","Randi McCallian",1,"Missouri","MO","Representative","8",0,1,0,0,0,0,0,0,0,13592,"333"
"331","Patty Murray",1,"Washington","WA","Senator","0",0,1,0,0,0,0,0,1,0,4540293,"334"
"332","Suzan DelBene",1,"Washington","WA","Representative","1",0,1,0,0,0,0,0,1,0,460072,"335"
"333","Rick Larsen",1,"Washington","WA","Representative","2",1,1,0,0,0,0,0,1,0,288721,"336"
"334","Marie Gluesenkamp Perez",1,"Washington","WA","Representative","3",0,1,0,0,1,0,0,0,0,2394322,"337"
"335","Doug White",1,"Washington","WA","Representative","4",1,1,0,0,0,0,0,0,0,364423,"338"
"336","Natasha Hill",1,"Washington","WA","Representative","5",0,0,1,0,0,0,0,0,0,147171,"339"
"337","Derek Kilmer",1,"Washington","WA","Representative","6",1,1,0,0,0,0,0,1,0,505742,"340"
"338","Pramila Jayapal",1,"Washington","WA","Representative","7",0,0,0,1,0,0,0,1,0,648605,"341"
"339","Kim Schrier",1,"Washington","WA","Representative","8",0,1,0,0,0,0,0,1,0,3460010,"342"
"340","Adam Smith",1,"Washington","WA","Representative","9",1,1,0,0,0,0,0,1,0,232158,"343"
"341","Marilyn Strickland",1,"Washington","WA","Representative","10",0,0,1,0,0,0,0,1,0,470309,"344"
"342","Cameron Parsons",1,"Tennessee","TN","Representative","1",1,1,0,0,0,0,0,0,0,0,"345"
"343","Mark Harmon",1,"Tennessee","TN","Representative","2",1,1,0,0,0,0,0,0,0,24757,"346"
"344","Meg Gorman",1,"Tennessee","TN","Representative","3",0,1,0,0,0,0,0,0,0,30775,"347"
"345","Wayne Steele",1,"Tennessee","TN","Representative","4",1,1,0,0,0,0,0,0,0,3838,"348"
"346","Heidi Campbell",1,"Tennessee","TN","Representative","5",0,1,0,0,0,0,0,0,0,597016,"349"
"347","Randal Cooper",1,"Tennessee","TN","Representative","6",1,1,0,0,0,0,0,0,0,0,"350"
"348","Odessa Kelly",1,"Tennessee","TN","Representative","7",0,0,1,0,0,0,0,0,0,312409,"351"
"349","Lynnette P. Williams",1,"Tennessee","TN","Representative","8",0,0,1,0,0,0,0,0,0,375,"352"
"350","Steve Cohen",1,"Tennessee","TN","Representative","9",1,1,0,0,0,0,0,1,0,36800,"353"
"351","Richard Blumenthal",1,"Connecticut","CT","Senator","0",1,1,0,0,0,0,0,1,0,1113278,"354"
"352","John B. Larson",1,"Connecticut","CT","Representative","1",1,1,0,0,0,0,0,1,0,354564,"355"
"353","Joe Courtney",1,"Connecticut","CT","Representative","2",1,1,0,0,0,0,0,1,0,387539,"356"
"354","Rosa L. DeLauro",1,"Connecticut","CT","Representative","3",0,1,0,0,0,0,0,1,0,621480,"357"
"355","Jim Himes",1,"Connecticut","CT","Representative","4",1,1,0,0,0,0,0,1,0,286015,"358"
"356","Jahana Hayes",1,"Connecticut","CT","Representative","5",0,0,1,0,0,0,0,1,0,780429,"359"
"357","Jeff Ettinger",1,"Minnesota","MN","Representative","1",1,1,0,0,0,0,0,0,0,447071,"360"
"358","Angie Craig",1,"Minnesota","MN","Representative","2",0,1,0,0,0,0,0,1,0,2195711,"361"
"359","Dean Phillips",1,"Minnesota","MN","Representative","3",1,1,0,0,0,0,0,1,0,914412,"362"
"360","Betty McCollum",1,"Minnesota","MN","Representative","4",0,1,0,0,0,0,0,1,0,401322,"363"
"361","Ilhan Omar",1,"Minnesota","MN","Representative","5",0,0,1,0,0,0,0,1,0,883752,"364"
"362","Jeanne Hendricks",1,"Minnesota","MN","Representative","6",0,1,0,0,0,0,0,0,0,53890,"365"
"363","Jill Abahsain",1,"Minnesota","MN","Representative","7",0,1,0,0,0,0,0,0,0,10521,"366"
"364","Jen Schultz",1,"Minnesota","MN","Representative","8",0,1,0,0,0,0,0,0,0,274830,"367"
"365","Peter Welch",1,"Vermont","VT","Senator","0",1,1,0,0,0,0,0,0,0,477924,"368"
"366","Becca Balint",1,"Vermont","VT","Representative","0",0,1,0,0,0,0,0,0,0,400722,"369"
"367","Mandela Barnes",1,"Wisconsin","WI","Senator","0",1,0,1,0,0,0,0,0,0,20015109,"370"
"368","Ann Roe",1,"Wisconsin","WI","Representative","1",0,1,0,0,0,0,0,0,0,355947,"371"
"369","Mark Pocan",1,"Wisconsin","WI","Representative","2",1,1,0,0,0,0,0,1,0,153657,"372"
"370","Brad Pfaff",1,"Wisconsin","WI","Representative","3",1,1,0,0,0,0,0,0,0,887654,"373"
"371","Gwen Moore",1,"Wisconsin","WI","Representative","4",0,0,1,0,0,0,0,1,0,110523,"374"
"372","Mike Van Someren",1,"Wisconsin","WI","Representative","5",1,1,0,0,0,0,0,0,0,32616,"375"
"373","Richard ""Dick"" Ausman",1,"Wisconsin","WI","Representative","7",1,1,0,0,0,0,0,0,0,30625,"376"
"374","Brian Schatz",1,"Hawaii","HI","Senator","0",1,1,0,0,0,0,0,1,0,447139,"377"
"375","Ed Case",1,"Hawaii","HI","Representative","1",1,1,0,0,0,0,0,1,0,409232,"378"
"376","Jill N. Tokuda",1,"Hawaii","HI","Representative","2",0,0,0,1,0,0,0,0,0,399722,"379"
"377","Patricia R. Chesbro",1,"Alaska","AK","Senator","0",0,1,0,0,0,0,0,0,0,69540,"380"
"378","Mary S. Peltola",1,"Alaska","AK","Representative","0",0,0,0,0,0,0,1,0,0,3722044,"381"
"379","Lynnette GreyBull",1,"Wyoming","WY","Representative","0",0,0,0,0,0,0,1,0,0,22600,"382"
"380","Val Demings",1,"Florida","FL","Senator","0",0,0,1,0,0,0,0,0,0,24688761,"383"
"381","Rebekah Jones",1,"Florida","FL","Representative","1",0,1,0,0,0,0,0,0,0,277244,"384"
"382","Al Lawson",1,"Florida","FL","Representative","2",1,0,1,0,0,0,0,1,0,165345,"386"
"383","Danielle Hawk",1,"Florida","FL","Representative","3",0,1,0,0,0,0,0,0,0,24122,"387"
"384","LaShonda ""L.J."" Holloway",1,"Florida","FL","Representative","4",0,0,1,0,0,0,0,0,0,1300,"388"
"385","Karen Green",1,"Florida","FL","Representative","7",0,0,1,0,0,0,0,0,0,29630,"389"
"386","Joanne Terry",1,"Florida","FL","Representative","8",0,1,0,0,0,0,0,0,0,31518,"390"
"387","Darren Soto",1,"Florida","FL","Representative","9",1,0,0,0,1,0,0,1,0,204202,"391"
"388","Maxwell Alejandro Frost",1,"Florida","FL","Representative","10",1,0,1,0,1,0,0,0,0,857387,"392"
"389","Shante Munns",1,"Florida","FL","Representative","11",0,0,1,0,0,0,0,0,0,1920,"393"
"390","Kimberly Walker",1,"Florida","FL","Representative","12",0,0,1,0,0,0,0,0,0,3522,"394"
"391","Eric Lynn",1,"Florida","FL","Representative","13",1,1,0,0,0,0,0,0,0,1033314,"395"
"392","Kathy Castor",1,"Florida","FL","Representative","14",0,1,0,0,0,0,0,1,0,303373,"396"
"393","Alan M. Cohn",1,"Florida","FL","Representative","15",1,1,0,0,0,0,0,0,0,651068,"397"
"394","Jan Schneider",1,"Florida","FL","Representative","16",0,1,0,0,0,0,0,0,0,1517,"398"
"395","Andrea Doria Kale",1,"Florida","FL","Representative","17",0,1,0,0,0,0,0,0,0,4210,"399"
"396","Cindy Banyai",1,"Florida","FL","Representative","19",0,1,0,0,0,0,0,0,0,18725,"400"
"397","Sheila Cherfilus-McCormick",1,"Florida","FL","Representative","20",0,0,1,0,0,0,0,1,0,161181,"401"
"398","Corinna Balderramos Robinson",1,"Florida","FL","Representative","21",0,1,0,0,1,0,0,0,0,41470,"402"
"399","Lois Frankel",1,"Florida","FL","Representative","22",0,1,0,0,0,0,0,1,0,247757,"403"
"400","Jared Moskowitz",1,"Florida","FL","Representative","23",1,1,0,0,0,0,0,0,0,358291,"404"
"401","Frederica Wilson",1,"Florida","FL","Representative","24",0,0,1,0,0,0,0,1,0,77521,"405"
"402","Debbie Wasserman Schultz",1,"Florida","FL","Representative","25",0,1,0,0,0,0,0,1,0,592607,"406"
"403","Christine Alexandria Olivo",1,"Florida","FL","Representative","26",0,0,1,0,0,0,0,0,0,57416,"407"
"404","Annette Taddeo",1,"Florida","FL","Representative","27",0,0,0,0,1,0,0,0,0,1334976,"408"
"405","Robert Asencio",1,"Florida","FL","Representative","28",1,0,0,0,1,0,0,0,0,65282,"409"
"406","Bridget Fleming",1,"New York","NY","Representative","1",0,1,0,0,0,0,0,0,0,1461001,"410"
"407","Jackie Gordon",1,"New York","NY","Representative","2",0,0,1,0,0,0,0,0,0,619891,"411"
"408","Robert P. Zimmerman",1,"New York","NY","Representative","3",1,1,0,0,0,0,0,0,0,1318265,"412"
"409","Laura A. Gillen",1,"New York","NY","Representative","4",0,1,0,0,0,0,0,0,0,743227,"413"
"410","Gregory Meeks",1,"New York","NY","Representative","5",1,0,1,0,0,0,0,1,0,359153,"414"
"411","Grace Meng",1,"New York","NY","Representative","6",0,0,0,1,0,0,0,1,0,361106,"415"
"412","Nydia M. Velazquez",1,"New York","NY","Representative","7",0,0,0,0,1,0,0,1,0,29916,"416"
"413","Hakeem S. Jeffries",1,"New York","NY","Representative","8",1,0,1,0,0,0,0,1,0,1212373,"417"
"414","Yvette Clarke",1,"New York","NY","Representative","9",0,0,1,0,0,0,0,1,0,64647,"418"
"415","Daniel Goldman",1,"New York","NY","Representative","10",1,1,0,0,0,0,0,0,0,1570584,"419"
"416","Max N. Rose",1,"New York","NY","Representative","11",1,1,0,0,0,0,0,0,0,1162712,"420"
"417","Jerrold L. Nadler",1,"New York","NY","Representative","12",1,1,0,0,0,0,0,1,0,976680,"421"
"418","Adriano Espaillat",1,"New York","NY","Representative","13",1,0,0,0,1,0,0,1,0,402101,"422"
"419","Alexandria Ocasio-Cortez",1,"New York","NY","Representative","14",0,0,0,0,1,0,0,1,0,1707783,"423"
"420","Ritchie J. Torres",1,"New York","NY","Representative","15",1,0,1,0,1,0,0,1,0,1515360,"424"
"421","Jamaal Bowman",1,"New York","NY","Representative","16",1,0,1,0,0,0,0,1,0,455122,"425"
"422","Sean Patrick Maloney",1,"New York","NY","Representative","17",1,1,0,0,0,0,0,1,0,1967612,"426"
"423","Pat Ryan",1,"New York","NY","Representative","18",1,1,0,0,0,0,0,0,0,2757923,"427"
"424","Josh Riley",1,"New York","NY","Representative","19",1,1,0,0,0,0,0,0,0,2095138,"428"
"425","Paul D. Tonko",1,"New York","NY","Representative","20",1,1,0,0,0,0,0,1,0,283445,"429"
"426","Matt Castelli",1,"New York","NY","Representative","21",1,1,0,0,0,0,0,0,0,1151520,"430"
"427","Francis Conole",1,"New York","NY","Representative","22",1,1,0,0,0,0,0,0,0,1486214,"431"
"428","Max H. Della Pia",1,"New York","NY","Representative","23",1,1,0,0,0,0,0,0,0,114990,"432"
"429","Steven Holden",1,"New York","NY","Representative","24",1,1,0,0,0,0,0,0,0,43043,"433"
"430","Joseph D. Morelle",1,"New York","NY","Representative","25",1,1,0,0,0,0,0,1,0,556186,"434"
"431","Brian Higgins",1,"New York","NY","Representative","26",1,1,0,0,0,0,0,1,0,260698,"435"
"432","Richard E. Neal",1,"Massachusetts","MA","Representative","1",1,1,0,0,0,0,0,1,0,425407,"436"
"433","James P. McGovern",1,"Massachusetts","MA","Representative","2",1,1,0,0,0,0,0,1,0,307952,"437"
"434","Lori Loureiro Trahan",1,"Massachusetts","MA","Representative","3",0,1,0,0,0,0,0,1,0,547740,"438"
"435","Jake Auchincloss",1,"Massachusetts","MA","Representative","4",1,1,0,0,0,0,0,1,0,823972,"439"
"436","Katherine M. Clark",1,"Massachusetts","MA","Representative","5",0,1,0,0,0,0,0,1,0,356024,"440"
"437","Seth Moulton",1,"Massachusetts","MA","Representative","6",1,1,0,0,0,0,0,1,0,333399,"441"
"438","Ayanna S. Pressley",1,"Massachusetts","MA","Representative","7",0,0,1,0,0,0,0,1,0,319561,"442"
"439","Stephen F. Lynch",1,"Massachusetts","MA","Representative","8",1,1,0,0,0,0,0,1,0,316855,"443"
"440","Bill Keating",1,"Massachusetts","MA","Representative","9",1,1,0,0,0,0,0,1,0,159383,"444"
"441","Lisa Blunt Rochester",1,"Delaware","DE","Representative","0",0,0,1,0,0,0,0,1,0,608714,"445"
"442","Maggie Hassan",1,"New Hampshire","NH","Senator","0",0,1,0,0,0,0,0,1,0,12184882,"446"
"443","Chris Pappas",1,"New Hampshire","NH","Representative","1",1,1,0,0,0,0,0,1,0,1743249,"447"
"444","Ann McLane Kuster",1,"New Hampshire","NH","Representative","2",0,1,0,0,0,0,0,1,0,1267419,"448"
"445","David N. Cicilline",1,"Rhode Island","RI","Representative","1",1,1,0,0,0,0,0,1,0,419463,"449"
"446","Seth M. Magaziner",1,"Rhode Island","RI","Representative","2",1,1,0,0,0,0,0,0,0,1155719,"450"
"447","Nathaniel Moran",0,"Texas","TX","Representative","1",1,1,0,0,0,0,0,0,0,78080,"451"
