"","State","State_Abbr","Office","District","Special","Dem_Name","Rep_Name","Dem_Gender","Rep_Gender","Dem_Incumbent","Rep_Incumbent","Rep_Election_Denier","Dem_Fundraised","Rep_Fundraised","Open.Num","Dem_Man_Rep_Man","Dem_Woman_Rep_Man","Dem_Man_Rep_Woman","Dem_Woman_Rep_Woman","Fundraising_Prop","Dem_Margin_2020"
"1","Texas","TX","Representative","1",0,"Jrmar ""JJ"" Jefferson","Nathaniel Moran",1,1,0,0,0,28794,78080,1,1,0,0,0,0.269420064749144,-45.8725865410564
"2","Texas","TX","Representative","2",0,"Robin Fulford","Dan Crenshaw",0,1,0,1,0,95686,2416874,0,0,1,0,0,0.0380830706530391,-22.7659925686219
"3","Texas","TX","Representative","3",0,"Sandeep Srivastava","Keith Self",1,1,0,0,1,68334,269160,1,1,0,0,0,0.202474710661523,-14.3760816867848
"4","Texas","TX","Representative","4",0,"Iro Omere","Pat Fallon",0,1,0,1,1,14200,113826,0,0,1,0,0,0.110914970396638,-25.9053045892726
"5","Texas","TX","Representative","5",0,"Tartisha Hill","Lance Gooden",0,1,0,1,1,3000,217782,0,0,1,0,0,0.0135880642443677,-22.4247808377613
"6","Texas","TX","Representative","7",0,"Lizzie Fletcher","Johnny Teague",0,1,1,0,0,1119722,81275,0,0,1,0,0,0.932327058269088,29.7294011207307
"7","Texas","TX","Representative","8",0,"Laura Jones","Morgan Luttrell",0,1,0,0,1,11580,1334823,1,0,1,0,0,0.00860069384872137,-27.1829994239263
"8","Texas","TX","Representative","9",0,"Al Green","Jimmy I. Leon",1,1,1,0,0,106053,0,0,1,0,0,0,1,53.4058374655755
"9","Texas","TX","Representative","10",0,"Linda Nuno","Michael McCaul",0,1,0,1,0,0,970436,0,0,1,0,0,0,-18.7757537282287
"10","Texas","TX","Representative","12",0,"Trey J. Hunt","Kay Granger",1,0,0,1,0,14590,517962,0,0,0,1,0,0.0273963857050579,-18.126636332032
"11","Texas","TX","Representative","13",0,"Kathleen Brown","Ronny Jackson",0,1,0,1,1,40716,1018039,0,0,1,0,0,0.0384564889894263,-45.4642885760838
"12","Texas","TX","Representative","14",0,"Mikal Williams","Randy Weber",1,1,0,1,1,28985,316659,0,1,0,0,0,0.0838579578988786,-28.4992764340124
"13","Texas","TX","Representative","15",0,"Michelle Vallejo","Monica De La Cruz",0,0,0,0,1,905218,1340477,1,0,0,0,1,0.403090357328132,-2.87623180623836
"14","Texas","TX","Representative","16",0,"Veronica Escobar","Irene Armendariz-Jackson",0,0,1,0,1,246292,95138,0,0,0,0,1,0.721354303956887,35.4189180338606
"15","Texas","TX","Representative","17",0,"Mary Jo Woods","Pete Sessions",0,1,0,1,1,0,253890,0,0,1,0,0,0,-22.525244178552
"16","Texas","TX","Representative","18",0,"Sheila Jackson Lee","Carmen Maria Montiel",0,0,1,0,1,420382,66095,0,0,0,0,1,0.864135406195976,48.5479606702167
"17","Texas","TX","Representative","20",0,"Joaquin Castro","Kyle Sinclair",1,1,1,0,0,133472,107341,0,1,0,0,0,0.55425579183848,33.0804624868005
"18","Texas","TX","Representative","21",0,"Claudia Andreana Zapata","Chip Roy",0,1,0,1,0,31821,718640,0,0,1,0,0,0.0424019369427592,-19.6915227554165
"19","Texas","TX","Representative","22",0,"Jamie Kaye Jordan","Troy E. Nehls",0,1,0,1,1,0,286216,0,0,1,0,0,0,-16.0360720605657
"20","Texas","TX","Representative","23",0,"John Lira","Tony Gonzales",1,1,0,1,0,227345,562821,0,1,0,0,0,0.287718023807656,-7.18534768634253
"21","Texas","TX","Representative","24",0,"Jan McDowell","Beth Van Duyne",0,0,0,1,1,67028,531283,0,0,0,0,1,0.112028694107245,-12.3446307454655
"22","Texas","TX","Representative","27",0,"Maclovio Perez Jr.","Michael Cloud",1,1,0,1,1,0,233327,0,1,0,0,0,0,-22.3961044820669
"23","Texas","TX","Representative","28",0,"Henry Cuellar","Cassy Garcia",1,0,1,0,0,1220535,628730,0,0,0,1,0,0.660010869183162,7.03578045670011
"24","Texas","TX","Representative","29",0,"Sylvia Garcia","Robert Schafranek",0,1,1,0,0,170861,0,0,0,1,0,0,1,36.727593192405
"25","Texas","TX","Representative","30",0,"Jasmine Crockett","James Rodgers",0,1,0,0,0,136892,28782,1,0,1,0,0,0.826273283677584,56.7402035359266
"26","Texas","TX","Representative","32",0,"Colin Allred","Antonio Swad",1,1,1,0,0,1198601,40347,0,1,0,0,0,0.967434468597552,32.9544159760572
"27","Texas","TX","Representative","33",0,"Marc Veasey","Patrick David Gillespie",1,1,1,0,0,283774,0,0,1,0,0,0,1,49.8862104068178
"28","Texas","TX","Representative","34",0,"Vicente Gonzalez","Mayra Flores",1,0,1,0,1,1143722,1309445,0,0,0,1,0,0.466222641997059,15.5139418441313
"29","Texas","TX","Representative","35",0,"Greg Casar","Dan McQueen",1,1,0,0,0,287109,0,1,1,0,0,0,1,45.1312708234174
"30","Texas","TX","Representative","36",0,"Jon Haire","Brian Babin",1,1,0,1,1,31626,303495,0,1,0,0,0,0.0943718835883159,-31.5936662990389
"31","Texas","TX","Representative","37",0,"Lloyd Doggett","Jenny Garcia Sharon",1,0,1,0,1,458166,1350,0,0,0,1,0,0.997062126237171,52.6265585078871
"32","Texas","TX","Representative","38",0,"Duncan F. Klussmann","Wesley Hunt",1,1,0,0,0,92428,1538357,1,1,0,0,0,0.0566769991139237,-18.1261100001398
"33","Indiana","IN","Senator","0",0,"Thomas M. McDermott Jr.","Todd Young",1,1,0,1,0,571451,2036744,0,1,0,0,0,0.219098265275411,-16.0777908563315
"34","Indiana","IN","Representative","1",0,"Frank J. Mrvan","Jennifer-Ruth Green",1,0,1,0,0,831945,1116519,0,0,0,1,0,0.426974786293203,8.35583628806913
"35","Indiana","IN","Representative","2",0,"Paul D. Steury","Jackie Walorski",1,0,0,1,1,43875,288247,0,0,0,1,0,0.132105069823739,-22.569386470762
"36","Indiana","IN","Representative","3",0,"Gary L. Snyder","Jim Banks",1,1,0,1,0,27193,562754,0,1,0,0,0,0.0460939711533409,-29.8978986290114
"37","Indiana","IN","Representative","4",0,"Roger D. Day","Jim Baird",1,1,0,1,1,0,43558,0,1,0,0,0,0,-29.1345081741699
"38","Indiana","IN","Representative","5",0,"Jeannine Lee Lake","Victoria Spartz",0,0,0,1,0,11441,810433,0,0,0,0,1,0.013920625302662,-15.9385179042757
"39","Indiana","IN","Representative","6",0,"Cynthia ""Cinde"" Wirth","Greg Pence",0,1,0,1,1,11221,418398,0,0,1,0,0,0.0261184910350799,-31.9266757503045
"40","Indiana","IN","Representative","7",0,"André D. Carson","Angela Grabovsky",1,0,1,0,0,143572,116935,0,0,0,1,0,0.551125305653975,42.3678033009255
"41","Indiana","IN","Representative","8",0,"Ray McCormick","Larry D. Bucshon",1,1,0,1,0,50339,171832,0,1,0,0,0,0.226577726165881,-32.8325880786384
"42","Indiana","IN","Representative","9",0,"Matthew Fyfe","Erin Houchin",1,0,0,0,0,28466,195496,1,0,0,1,0,0.127101919075557,-27.3892973157805
"43","Ohio","OH","Senator","0",0,"Tim Ryan","J.D. Vance",1,1,0,0,1,22466976,5092005,1,1,0,0,0,0.815232464509482,-8.03443360054591
"44","Ohio","OH","Representative","1",0,"Greg Landsman","Steve Chabot",1,1,0,1,1,1102806,587367,0,1,0,0,0,0.652481136546377,8.45825035216398
"45","Ohio","OH","Representative","2",0,"Samantha Meadows","Brad Wenstrup",0,1,0,1,0,6130,243152,0,0,1,0,0,0.0245906242729118,-45.3587557774276
"46","Ohio","OH","Representative","3",0,"Joyce Beatty","Lee R. Stahley",0,1,1,0,0,325961,0,0,0,1,0,0,1,43.7639763913547
"47","Ohio","OH","Representative","4",0,"Tamie Wilson","Jim Jordan",0,1,0,1,1,30773,2969673,0,0,1,0,0,0.0102561419202345,-35.6810440554467
"48","Ohio","OH","Representative","5",0,"Craig Swartz","Bob Latta",1,1,0,1,0,14285,241535,0,1,0,0,0,0.0558400437807834,-26.7954610200856
"49","Ohio","OH","Representative","6",0,"Louis G. Lyras","Bill Johnson",1,1,0,1,1,30881,218367,0,1,0,0,0,0.123896681217101,-28.7228710340334
"50","Ohio","OH","Representative","7",0,"Matthew Diemer","Max Miller",1,1,0,0,1,83981,480223,1,1,0,0,0,0.148848643398487,-9.22706606044397
"51","Ohio","OH","Representative","8",0,"Vanessa Enoch","Warren Davidson",0,1,0,1,1,0,241346,0,0,1,0,0,0,-22.0245623751113
"52","Ohio","OH","Representative","9",0,"Marcy Kaptur","J.R. Majewski",0,1,1,0,1,859259,287126,0,0,1,0,0,0.749537895209724,-2.91820965902539
"53","Ohio","OH","Representative","10",0,"David Esrati","Mike Turner",1,1,0,1,0,20954,176895,0,1,0,0,0,0.105909051852676,-3.51999060587031
"54","Ohio","OH","Representative","11",0,"Shontel Brown","Eric J. Brewer",0,1,1,0,0,929565,0,0,0,1,0,0,1,57.5981629925588
"55","Ohio","OH","Representative","12",0,"Amy Rippel-Elton","Troy Balderson",0,1,0,1,0,0,400590,0,0,1,0,0,0,-30.8570738277114
"56","Ohio","OH","Representative","13",0,"Emilia Sykes","Madison Gesiotto Gilbert",0,0,0,0,0,930435,593758,1,0,0,0,1,0.610444346614897,2.8189921936737
"57","Ohio","OH","Representative","14",0,"Matt Kilboy","David P. Joyce",1,1,0,1,0,14299,588910,0,1,0,0,0,0.0237048850398452,-14.9441212232777
"58","Ohio","OH","Representative","15",0,"Gary Josephson","Mike Carey",1,1,0,1,0,31001,636839,0,1,0,0,0,0.046419801149976,-6.75792031801978
"59","West Virginia","WV","Representative","1",0,"Lacy Watson","Carol Miller",1,0,0,1,1,0,214146,0,0,0,1,0,0,-40.9031626997066
"60","West Virginia","WV","Representative","2",0,"Barry Lee Wendell","Alexander X. Mooney",1,1,0,1,1,11883,450464,0,1,0,0,0,0.0257014752988556,-37.0134004516559
"61","Nebraska","NE","Representative","1",0,"Patty Pansing Brooks","Mike Flood",0,1,0,0,0,668297,542991,1,0,1,0,0,0.551724280270258,-11.0615313095919
"62","Nebraska","NE","Representative","2",0,"Tony Vargas","Don Bacon",1,1,0,1,0,1581330,734278,0,1,0,0,0,0.682900560025704,6.31667342514217
"63","Nebraska","NE","Representative","3",0,"David J. Else","Adrian Smith",1,1,0,1,0,0,167909,0,1,0,0,0,0,-51.8342475613691
"64","Kentucky","KY","Senator","0",0,"Charles Booker","Rand Paul",1,1,0,1,0,1565535,4987117,0,1,0,0,0,0.23891624337749,-25.9512343146786
"65","Kentucky","KY","Representative","1",0,"Jimmy C. Ausbrooks","James R. Comer",1,1,0,1,0,250,490999,0,1,0,0,0,0.000508906888360078,-42.7744974910068
"66","Kentucky","KY","Representative","2",0,"Hank Linderman","S. Brett Guthrie",1,1,0,1,0,22704,119925,0,1,0,0,0,0.159182213995751,-36.5735951160173
"67","Kentucky","KY","Representative","3",0,"Morgan McGarvey","Stuart N. Ray",1,1,0,0,0,1010411,139849,1,1,0,0,0,0.878419661641716,22.3482954157273
"68","Kentucky","KY","Representative","4",0,"Matthew Lehman","Thomas Massie",1,1,0,1,0,74279,232761,0,1,0,0,0,0.241919619593538,-32.7043455320192
"69","Kentucky","KY","Representative","5",0,"Conor Halbleib","Harold ""Hal"" Rogers",1,1,0,1,1,3530,219000,0,1,0,0,0,0.0158630297038602,-59.325543468302
"70","Kentucky","KY","Representative","6",0,"Geoffrey M. ""Geoff"" Young","Andy Barr",1,1,0,1,0,13807,750572,0,1,0,0,0,0.0180630289424487,-10.949757602468
"71","Oregon","OR","Senator","0",0,"Ron Wyden","Jo Rae Perkins",1,0,1,0,1,3175684,36430,0,0,0,1,0,0.988658559440917,16.1054175235141
"72","Oregon","OR","Representative","1",0,"Suzanne Bonamici","Christopher A. Mann",0,1,1,0,1,176655,0,0,0,1,0,0,1,38.9844050243735
"73","Oregon","OR","Representative","2",0,"Joe Yetter","Cliff S. Bentz",1,1,0,1,0,25396,298795,0,1,0,0,0,0.0783365361777471,-24.3168230599926
"74","Oregon","OR","Representative","3",0,"Earl Blumenauer","Joanna Harbour",1,0,1,0,0,247652,5400,0,0,0,1,0,0.978660512463841,46.9748735469441
"75","Oregon","OR","Representative","4",0,"Val Hoyle","Alek Skarlatos",0,1,0,0,0,766993,1527424,1,0,1,0,0,0.334286661927627,12.6339206307823
"76","Oregon","OR","Representative","5",0,"Jamie McLeod-Skinner","Lori Chavez-DeRemer",0,0,0,0,0,1470369,967504,1,0,0,0,1,0.603136012417382,8.7761648325919
"77","Oregon","OR","Representative","6",0,"Andrea Salinas","Mike Erickson",0,1,0,0,0,1417119,501550,1,0,1,0,0,0.738594827977103,13.0697218066307
"78","Idaho","ID","Senator","0",0,"David Roth","Mike Crapo",1,1,0,1,0,32918,668013,0,1,0,0,0,0.0469632531590128,-30.7971695448188
"79","Idaho","ID","Representative","1",0,"Kaylee Peterson","Russ Fulcher",0,1,0,1,1,29125,99160,0,0,1,0,0,0.227033558093308,-38.1614428922187
"80","Idaho","ID","Representative","2",0,"Wendy Norman","Mike Simpson",0,1,0,1,0,4470,183626,0,0,1,0,0,0.0237644607009187,-22.9429565383149
"81","North Carolina","NC","Senator","0",0,"Cheri Beasley","Ted Budd",0,1,0,0,0,15501364,5035019,1,0,1,0,0,0.754824449855654,-1.35092964768635
"82","North Carolina","NC","Representative","1",0,"Don Davis","Sandy Smith",1,0,0,0,1,525308,400451,1,0,0,1,0,0.567434937170473,7.28975488396754
"83","North Carolina","NC","Representative","2",0,"Deborah K. Ross","Christine E. Villaverde",0,0,1,0,0,635161,46400,0,0,0,0,1,0.931920987263062,28.6523107630892
"84","North Carolina","NC","Representative","3",0,"Barbara D. Gaskins","Greg Murphy",0,1,0,1,1,7750,719158,0,0,1,0,0,0.0106615967907906,-25.3179788740063
"85","North Carolina","NC","Representative","4",0,"Valerie P. Foushee","Courtney Geels",0,0,0,0,0,99094,177378,1,0,0,0,1,0.358423276136462,34.9898362186287
"86","North Carolina","NC","Representative","5",0,"Kyle Parrish","Virginia Foxx",1,0,0,1,1,4150,505932,0,0,0,1,0,0.00813594676934297,-21.2545019194997
"87","North Carolina","NC","Representative","6",0,"Kathy Manning","Christian Castelli",0,1,1,0,0,1180059,344192,0,0,1,0,0,0.774189421558523,12.3784428452019
"88","North Carolina","NC","Representative","7",0,"Charles Graham","David Rouzer",1,1,0,1,1,53715,278633,0,1,0,0,0,0.161622756869306,-12.7193411930594
"89","North Carolina","NC","Representative","8",0,"Scott Huffman","Dan Bishop",1,1,0,1,1,13145,449819,0,1,0,0,0,0.0283931363993745,-34.0090702371727
"90","North Carolina","NC","Representative","9",0,"Ben Clark","Richard Hudson",1,1,0,1,1,55317,886736,0,1,0,0,0,0.058719626178145,-7.96482017455297
"91","North Carolina","NC","Representative","10",0,"Pam Genant","Patrick McHenry",0,1,0,1,0,34936,563578,0,0,1,0,0,0.0583712327531186,-39.4688946675494
"92","North Carolina","NC","Representative","11",0,"Jasmine Beach-Ferrara","Chuck Edwards",0,1,0,0,0,521194,229284,1,0,1,0,0,0.69448271634878,-10.1349644794063
"93","North Carolina","NC","Representative","12",0,"Alma S. Adams","Tyler Lee",0,1,1,0,0,153055,113381,0,0,1,0,0,0.57445315197646,30.1033937145351
"94","North Carolina","NC","Representative","13",0,"Wiley Nickel","Bo Hines",1,1,0,0,1,1284684,718892,1,1,0,0,0,0.641195542370242,1.69401399665834
"95","North Carolina","NC","Representative","14",0,"Jeff Jackson","Pat Harrigan",1,1,0,0,0,1736680,392454,1,1,0,0,0,0.815674353986175,16.3618913427472
"96","Pennsylvania","PA","Senator","0",0,"John Fetterman","Mehmet Oz",1,1,0,0,0,23545207,10161294,1,1,0,0,0,0.698536077654575,1.1857308730739
"97","Pennsylvania","PA","Representative","1",0,"Ashley Ehasz","Brian Fitzpatrick",0,1,0,1,0,465743,629707,0,0,1,0,0,0.425161349217217,4.63989053341369
"98","Pennsylvania","PA","Representative","2",0,"Brendan F. Boyle","Aaron Bashir",1,1,1,0,1,249977,0,0,1,0,0,0,1,42.7384507796786
"99","Pennsylvania","PA","Representative","4",0,"Madeleine Dean","Christian Nascimento",0,1,1,0,0,416911,131510,0,0,1,0,0,0.760202472188337,18.9295384945417
"100","Pennsylvania","PA","Representative","5",0,"Mary Gay Scanlon","David Galluch",0,1,1,0,0,382763,359272,0,0,1,0,0,0.515828768184789,32.2771692963692
"101","Pennsylvania","PA","Representative","6",0,"Chrissy Houlahan","Guy Ciarrocchi",0,1,1,0,0,1124998,363263,0,0,1,0,0,0.755914453177232,14.714202271707
"102","Pennsylvania","PA","Representative","7",0,"Susan Wild","Lisa Scheller",0,0,1,0,0,2421256,1300250,0,0,0,0,1,0.650611875944846,0.621218273855617
"103","Pennsylvania","PA","Representative","8",0,"Matt Cartwright","Jim Bognet",1,1,1,0,1,1522324,1131479,0,1,0,0,0,0.573638661196781,-2.90816125860374
"104","Pennsylvania","PA","Representative","9",0,"Amanda R. Waldman","Dan Meuser",0,1,0,1,1,8950,433305,0,0,1,0,0,0.020237193474353,-36.5258657678569
"105","Pennsylvania","PA","Representative","10",0,"Shamaine Daniels","Scott Perry",0,1,0,1,1,189366,1057229,0,0,1,0,0,0.15190659356086,-4.13271333039683
"106","Pennsylvania","PA","Representative","11",0,"Bob Hollister","Lloyd K. Smucker",1,1,0,1,1,104834,118548,0,1,0,0,0,0.469303703968986,-21.2548863544773
"107","Pennsylvania","PA","Representative","12",0,"Summer Lee","Mike Doyle",0,1,0,0,0,417129,81252,1,0,1,0,0,0.836968102716596,19.9502372922384
"108","Pennsylvania","PA","Representative","16",0,"Dan Pastore","Mike Kelly",1,1,0,1,1,169323,240935,0,1,0,0,0,0.412723213197549,-20.6383669294359
"109","Pennsylvania","PA","Representative","17",0,"Chris Deluzio","Jeremy Shaffer",1,1,0,0,0,1600905,803092,1,1,0,0,0,0.665934691266254,5.8333259991375
"110","Virginia","VA","Representative","9",0,"Taysha DeVaughan","H. Morgan Griffith",0,1,0,1,0,19072,91064,0,0,1,0,0,0.17316771990993,-41.8947572999385
"111","Alabama","AL","Senator","0",0,"Will Boyd","Katie Britt",1,0,0,0,1,50840,3531472,1,0,0,1,0,0.0141919520131133,-25.4616529547425
"112","Alabama","AL","Representative","2",0,"Phyllis Harvey-Hall","Barry Moore",0,1,0,1,1,11672,191361,0,0,1,0,0,0.0574881915747686,-29.3705922901532
"113","Alabama","AL","Representative","3",0,"Lin Veasey","Mike Rogers",0,1,0,1,1,1300,954360,0,0,1,0,0,0.00136031643052969,-34.0260124801945
"114","Alabama","AL","Representative","4",0,"Rick Neighbors","Robert Aderholt",1,1,0,1,1,9010,357328,0,1,0,0,0,0.0245947731330083,-61.6634398637096
"115","Alabama","AL","Representative","5",0,"Kathy Warner-Stanton","Dale Strong",0,1,0,0,1,6035,310035,1,0,1,0,0,0.0190938716107191,-26.9899277753421
"116","Alabama","AL","Representative","7",0,"Terrycina Sewell","Beatrice Nichols",0,0,1,0,0,242945,15990,0,0,0,0,1,0.938247050418059,32.0516896663467
"117","Arkansas","AR","Senator","0",0,"Natalie James","John Boozman",0,1,0,1,0,13935,1377221,0,0,1,0,0,0.0100168492965562,-27.6206679031294
"118","Arkansas","AR","Representative","1",0,"Monte Hodges","Rick Crawford",1,1,0,1,1,12950,129303,0,1,0,0,0,0.0910349869598532,-40.9063014310023
"119","Arkansas","AR","Representative","2",0,"Quintessa Hathaway","French Hill",0,1,0,1,0,0,735158,0,0,1,0,0,0,-13.1245101954414
"120","Arkansas","AR","Representative","3",0,"Lauren Mallett-Hays","Steve Womack",0,1,0,1,0,11624,398698,0,0,1,0,0,0.0283289709057764,-23.4169458561181
"121","Arkansas","AR","Representative","4",0,"John White","Bruce Westerman",1,1,0,1,0,0,485454,0,1,0,0,0,0,-35.246619971769
"122","Georgia","GA","Senator","0",0,"Raphael Warnock","Herschel Junior Walker",1,1,1,0,0,35622857,15054373,0,1,0,0,0,0.702936151009043,0.253476955603721
"123","Georgia","GA","Representative","1",0,"Wade Herring","Earl L. ""Buddy"" Carter",1,1,0,1,0,562532,414031,0,1,0,0,0,0.576032473071374,-13.3842381993265
"124","Georgia","GA","Representative","2",0,"Sanford Bishop","Chris West",1,1,1,0,0,694626,340266,0,1,0,0,0,0.671206270799272,10.374593500414
"125","Georgia","GA","Representative","3",0,"Val Almonord","Drew Ferguson",1,1,0,1,0,145,280240,0,1,0,0,0,0.000517146067014997,-30.1137145632026
"126","Georgia","GA","Representative","4",0,"Henry C. ""Hank"" Johnson Jr.","Jonathan Chavez",1,1,1,0,0,36514,0,0,1,0,0,0,1,57.7066503548109
"127","Georgia","GA","Representative","5",0,"Nikema Williams","Christian Zimm",0,1,1,0,0,138499,11224,0,0,1,0,0,0.925034897777896,66.5250768070946
"128","Georgia","GA","Representative","6",0,"Bob Christian","Rich McCormick",1,1,0,0,1,23623,1252980,1,1,0,0,0,0.0185045781656474,-14.7609127650792
"129","Georgia","GA","Representative","7",0,"Lucy McBath","Mark Gonsalves",0,1,1,0,1,1423129,216632,0,0,1,0,0,0.867888064175206,25.8119500904381
"130","Georgia","GA","Representative","8",0,"Darrius Butler","Austin Scott",1,1,0,1,0,0,175500,0,1,0,0,0,0,-27.627747610313
"131","Georgia","GA","Representative","9",0,"Michael ""Mike"" Ford","Andrew Clyde",1,1,0,1,1,5075,202336,0,1,0,0,0,0.0244683261736359,-37.8859079401797
"132","Georgia","GA","Representative","10",0,"Tabitha Johnson-Green","Mike Collins",0,1,0,0,1,1429,527584,1,0,1,0,0,0.00270125686892383,-23.4209697441313
"133","Georgia","GA","Representative","11",0,"Antonio Daza","Barry Loudermilk",1,1,0,1,1,12315,200132,0,1,0,0,0,0.0579673989277326,-15.2902659857765
"134","Georgia","GA","Representative","12",0,"Elizabeth ""Liz"" Johnson","Rick W. Allen",0,1,0,1,1,62773,259336,0,0,1,0,0,0.194881235854944,-10.144791495553
"135","Georgia","GA","Representative","13",0,"David Scott","Caesar Gonzales",1,1,1,0,1,128350,3765,0,1,0,0,0,0.971502100442796,60.3535426979298
"136","Georgia","GA","Representative","14",0,"Marcus Flowers","Marjorie Taylor Greene",1,0,0,1,1,2348202,1424754,0,0,0,1,0,0.622377255393384,-37.4296941438667
"137","New Mexico","NM","Representative","1",0,"Melanie Ann Stansbury","Michelle Garcia Holmes",0,0,1,0,0,481506,116185,0,0,0,0,1,0.805610256804938,14.4620585376992
"138","New Mexico","NM","Representative","2",0,"Gabriel Vasquez","Yvette Herrell",1,0,0,1,1,1583185,1330445,0,0,0,1,0,0.543372013605022,5.88275263296969
"139","New Mexico","NM","Representative","3",0,"Teresa Leger Fernandez","Alexis Martinez Johnson",0,0,1,0,0,1007926,147631,0,0,0,0,1,0.872242563542949,10.7356235997013
"140","Mississippi","MS","Representative","1",0,"Dianne Black","Trent Kelly",0,1,0,1,1,8869,247811,0,0,1,0,0,0.0345527505064672,-31.6893896263446
"141","Mississippi","MS","Representative","2",0,"Bennie G. Thompson","Brian Flowers",1,1,1,0,1,265355,6600,0,1,0,0,0,0.975731279071905,26.0817909892503
